STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT11
USC00435416,"MOUNT MANSFIELD, VT US",10/27/00,0,0,0,58,49,57,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/28/00,0,0,0,57,17,17,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/29/00,,3.5,7,17,12,14,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/30/00,0.3,3,7,25,14,25,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/31/00,0.2,0,6,32,14,31,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/1/00,0,0,5,33,26,29,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/2/00,0,0,5,42,27,39,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/3/00,0,0,4,50,36,47,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/4/00,0.03,0,2,47,36,38,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/5/00,1.02,7,9,38,28,28,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/6/00,0.29,1,9,27,23,27,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/7/00,0.04,0,6,36,27,35,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/8/00,0,0,5,48,35,40,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/9/00,0,0,0,52,37,45,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/10/00,0.47,0,0,47,35,36,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/11/00,0.31,0,0,42,31,31,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/12/00,0.19,0,0,33,26,30,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/13/00,0,0,0,35,25,29,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/14/00,0.1,0,0,34,29,32,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/15/00,0.76,4,5,32,22,22,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/16/00,0.02,0,5,25,20,24,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/17/00,0.13,1,6,26,22,22,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/18/00,0.16,2,7,22,13,17,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/19/00,0.16,1.5,6,24,15,22,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/20/00,0,0,6,22,14,19,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/21/00,0.3,3,9,20,14,19,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/22/00,0.66,7,16,19,9,9,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/23/00,0.21,4,19,9,3,9,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/24/00,0,0,16,16,-2,10,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/25/00,0,0,15,25,4,21,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/26/00,0.31,0,11,32,20,28,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/27/00,0.71,1,12,32,28,28,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/28/00,0.39,0.8,12,28,24,25,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/29/00,0.3,2,12,26,24,24,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",11/30/00,0.28,3,14,26,21,21,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/1/00,0.8,5.5,20,21,11,11,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/2/00,0.18,5,25,11,3,7,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/3/00,0.03,0.5,24,18,2,18,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/4/00,0,0,23,24,11,18,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/5/00,0,0,21,24,16,18,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/6/00,0.17,2,22,18,-5,1,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/7/00,0.11,2,25,7,-1,-1,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/8/00,0,0,23,9,-12,-1,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/9/00,0,0,22,3,-4,-1,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/10/00,0,0,21,14,-2,14,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/11/00,0.14,1.5,21,14,24,23,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/12/00,0.6,3,28,31,2,2,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/13/00,0,0,26,14,-10,10,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/14/00,0.45,3,30,22,3,19,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/15/00,0.09,0.5,31,27,3,22,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/16/00,0,0,30,22,12,19,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/17/00,2.68,0,29,43,19,42,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/18/00,1.47,5.3,31,43,12,13,1,,,,,1
USC00435416,"MOUNT MANSFIELD, VT US",12/19/00,0.11,0.5,32,18,8,16,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/20/00,0.62,7,39,19,2,4,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/21/00,0.05,0.5,39,15,-1,9,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/22/00,0.12,2,39,14,9,12,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/23/00,0.3,4,41,12,-1,1,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/24/00,0.1,1,42,10,-4,8,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/25/00,0.43,7,48,8,-13,-13,,,,,,1
USC00435416,"MOUNT MANSFIELD, VT US",12/26/00,0.31,1,47,0,-16,0,1,,,,,1
USC00435416,"MOUNT MANSFIELD, VT US",12/27/00,0.12,1,45,3,0,2,,,,,,1
USC00435416,"MOUNT MANSFIELD, VT US",12/28/00,0.11,1,45,2,-10,1,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/29/00,0,0,44,27,1,26,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/30/00,0.07,0.7,44,26,8,12,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",12/31/00,0.86,9,54,15,10,11,1,,,,,1
USC00435416,"MOUNT MANSFIELD, VT US",1/1/01,0.59,0.8,58,11,0,7,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/2/01,0.05,0,55,11,2,3,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/3/01,0.2,0.2,54,12,1,12,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/4/01,0.29,3.7,57,12,8,9,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/5/01,0.12,1.5,58,14,0,11,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/6/01,0,0,57,23,11,18,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/7/01,0.08,0.8,54,18,11,16,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/8/01,0.06,0.5,52,20,13,20,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/9/01,0.14,0.5,53,20,4,4,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/10/01,0.33,3.5,59,4,-11,3,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/11/01,0.37,0.2,60,18,1,14,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/12/01,0,0,59,19,0,14,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/13/01,0,0,59,20,5,19,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/14/01,0,0,56,22,17,21,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/15/01,0.11,1.5,56,21,16,17,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/16/01,0.64,0.4,58,23,16,22,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/17/01,0.18,0.2,62,22,5,5,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/18/01,0.03,0.5,62,15,-1,14,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/19/01,0.35,2.5,63,20,14,19,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/20/01,0.04,0.3,63,19,5,8,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/21/01,0,0,63,11,-2,3,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/22/01,0.12,2.5,64,11,3,10,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/23/01,0,0,64,19,10,17,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/24/01,0.03,0,63,19,15,18,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/25/01,0.22,2.5,64,19,8,8,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/26/01,0,0,62,17,1,14,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/27/01,0,0,62,18,11,11,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/28/01,,,63,11,1,5,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/29/01,0.02,0.3,63,17,4,17,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/30/01,0.26,0.3,62,30,14,24,1,,1,,,
USC00435416,"MOUNT MANSFIELD, VT US",1/31/01,0.13,0.7,66,27,17,22,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/1/01,0.44,2,68,22,13,13,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/2/01,0.06,0.3,68,16,11,16,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/3/01,0.62,6.5,73,19,-1,3,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/4/01,0,0,72,13,-2,13,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/5/01,0.2,2,72,25,13,17,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/6/01,1.32,8.5,79,19,12,18,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/7/01,0.33,4.5,81,18,10,15,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/8/01,0.17,2,83,18,9,18,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/9/01,0.66,0,80,34,15,33,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/10/01,0.35,0,72,40,4,4,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/11/01,0,0,72,4,-15,-8,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/12/01,0,0,72,14,-12,10,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/13/01,0.05,0.5,72,15,8,15,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/14/01,0.15,0.8,72,28,13,26,1,,1,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/15/01,1.24,8,78,27,10,14,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/16/01,0,0,78,19,8,19,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/17/01,0.51,6.5,84,20,-3,-3,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/18/01,0.13,0.8,82,4,-14,4,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/19/01,0.18,2.5,82,14,4,14,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/20/01,0,0,80,26,14,26,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/21/01,0.45,6,82,27,-4,-3,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/22/01,0,0,82,9,-16,-2,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/23/01,0.27,3,85,15,-3,12,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/24/01,0.19,2.5,86,12,-8,2,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/25/01,0.42,1.5,84,21,1,15,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/26/01,0.33,0.3,84,32,12,12,1,,1,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/27/01,0.13,2.5,85,13,6,10,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",2/28/01,0.03,0.3,85,10,-8,-1,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/1/01,0,0,87,1,-9,-1,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/2/01,0.07,0.5,86,13,-6,11,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/3/01,0,0,85,14,0,9,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/4/01,0,0,85,17,1,15,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/5/01,0.42,4,89,16,8,15,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/6/01,1.13,14,98,16,14,15,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/7/01,0.12,1.5,96,21,10,16,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/8/01,0,0,96,21,12,20,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/9/01,0.15,1.5,95,21,17,20,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/10/01,0.75,5.5,103,20,15,18,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/11/01,0.13,1.3,104,21,12,20,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/12/01,0.22,0.3,102,24,-6,22,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/13/01,0.4,2,108,24,10,23,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/14/01,1.02,7,110,28,18,19,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/15/01,0.54,3.5,112,25,17,24,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/16/01,0,0,109,24,11,16,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/17/01,0,0,109,28,13,24,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/18/01,0,0,108,25,11,15,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/19/01,0,0,109,23,12,23,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/20/01,0,0,109,33,20,31,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/21/01,0,0,109,32,25,29,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/22/01,0.91,7,117,29,22,23,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/23/01,1.05,8.5,120,23,18,18,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/24/01,1.16,8,128,22,15,21,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/25/01,0.05,0.5,126,21,9,16,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/26/01,0,0,124,20,6,16,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/27/01,0.01,1,124,,3,12,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/28/01,1.03,13.5,132,18,12,18,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/29/01,0,0,132,30,12,27,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/30/01,0.45,2,130,27,20,22,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",3/31/01,0.26,1,131,29,20,26,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/1/01,0,0,129,31,19,31,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/2/01,0,0,126,31,18,18,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/3/01,0,0,126,20,16,20,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/4/01,0,0,125,26,18,25,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/5/01,0,0,123,30,20,29,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/6/01,0,0,125,32,26,27,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/7/01,0.13,0.7,122,33,23,33,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/8/01,0.38,0,123,36,19,33,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/9/01,0.13,0,120,39,28,31,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/10/01,0,0,120,34,27,33,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/11/01,0,0,117,40,29,36,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/12/01,0.3,0,116,36,29,32,1,,,,1,
USC00435416,"MOUNT MANSFIELD, VT US",4/13/01,0,0,111,43,30,31,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/14/01,0.17,1,110,31,17,28,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/15/01,0,0,108,31,23,30,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/16/01,0,0,108,31,21,29,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/17/01,0,0,107,33,23,31,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/18/01,0,0,107,31,16,21,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/19/01,0,0,107,28,13,28,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/20/01,0,0,107,41,23,40,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/21/01,0,0,106,44,38,46,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/22/01,0.22,0,96,49,41,43,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/23/01,0,0,94,60,35,60,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/24/01,0.17,0,92,62,37,37,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/25/01,0.18,0,81,38,22,30,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/26/01,0,0,80,47,29,45,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/27/01,0,0,77,46,34,45,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/28/01,0,0,76,45,15,30,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/29/01,0,0,75,39,22,39,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",4/30/01,0,0,74,54,35,53,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/1/01,0,0,70,67,49,67,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/2/01,0,0,64,68,55,66,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/3/01,0,0,60,70,54,66,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/4/01,0,0,55,69,51,59,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/5/01,0,0,53,61,30,30,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/6/01,0,0,50,50,29,49,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/7/01,0,0,48,56,36,55,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/8/01,0,0,46,66,44,62,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/9/01,0,0,44,62,49,56,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/10/01,0,0,42,62,43,60,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/11/01,0,0,36,68,50,66,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/12/01,0.72,0,34,68,44,44,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/13/01,0.68,0,30,44,26,38,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/14/01,0,0,26,46,31,40,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/15/01,0,0,24,43,37,40,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/16/01,0,0,22,51,35,47,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/17/01,0,0,20,55,36,51,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/18/01,0,0,18,52,40,46,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/19/01,0.47,0,18,47,42,45,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/20/01,0,0,18,60,39,56,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/21/01,0,0,10,60,45,59,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/22/01,0,0,9,60,42,46,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/23/01,0.08,0,6,46,40,41,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/24/01,0.02,0,4,61,39,34,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/25/01,0,0,1,60,43,60,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/26/01,0,0,0,60,45,53,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/27/01,0.44,0,0,53,44,47,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/28/01,0.3,0,0,50,44,46,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/29/01,0.17,0,0,47,40,45,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",5/30/01,0.56,0.7,1,45,28,28,1,,1,,1,
USC00435416,"MOUNT MANSFIELD, VT US",5/31/01,2.03,6.5,6,33,24,33,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/1/01,0,0,3,55,33,52,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/2/01,0.46,0,,52,38,44,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/3/01,0.15,0,,50,44,48,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/4/01,0.79,0,,49,40,46,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/5/01,0.5,0,0,46,42,44,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/6/01,0.15,0,0,51,41,49,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/7/01,0,0,0,57,43,56,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/8/01,0,0,0,57,44,56,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/9/01,0,0,0,60,45,60,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/10/01,0,0,0,63,48,63,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/11/01,0.04,0,0,63,48,48,1,1,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/12/01,0.14,0,0,57,48,55,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/13/01,0,0,0,70,52,68,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/14/01,0,0,0,73,60,71,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/15/01,0,0,0,79,62,77,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/16/01,0,0,0,78,62,75,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/17/01,0.74,0,0,76,53,59,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/18/01,0,0,0,64,48,61,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/19/01,0,0,0,73,53,72,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/20/01,0,0,0,73,56,52,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/21/01,0,0,0,72,49,52,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/22/01,0,0,0,58,44,55,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/23/01,0,0,0,59,56,58,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/24/01,0.73,0,0,59,51,53,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/25/01,0,0,0,68,51,67,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/26/01,0,0,0,73,69,69,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/27/01,0,0,0,73,57,72,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/28/01,0,0,0,72,52,56,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/29/01,0.1,0,0,57,45,53,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",6/30/01,1.09,0,0,64,53,63,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",7/1/01,0.31,0,0,66,54,58,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",7/2/01,0.05,0,0,57,31,47,1,,,,,1
USC00435416,"MOUNT MANSFIELD, VT US",7/3/01,0,0,0,52,43,50,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",7/4/01,0,0,0,65,48,63,,,,,,
