"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08","WT09"
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-26","0.3"," 0617"," 1352","2.8",,,"-12.8","-2.8","-23.3",,"  190","  160","3.1","3.1",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-27","1.2"," 1635"," 1634","0.0",,,"-6.1","-1.1","-11.7",,"  360","  360","6.3","7.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-28","2.6"," 1103"," 0431","0.0",,,"-7.8","-4.4","-11.1",,"   40","  320","6.3","8.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-29","1.2"," 1534"," 1512","1.3",,,"-8.9","-1.1","-17.2",,"  200","  210","5.8","7.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-30","0.5"," 1938"," 1937","16.3",,,"-7.8","0.6","-16.7",,"  190","  210","3.1","3.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-31","0.9"," 0253"," 0252","7.4",,,"-2.8","0.6","-6.7",,"   30","   40","4.0","5.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-01","0.3"," 1713"," 1327","1.3",,,"-6.1","-2.8","-9.4",,"  230","   20","2.7","3.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-02","0.3"," 2231"," 2230","2.5",,,"-7.8","-2.2","-13.3",,"  300","  300","4.5","5.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-03","1.1"," 0958"," 0702","0.0",,,"-13.9","-5.6","-22.8",,"   10","  360","3.6","4.5",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-04","0.3",,,,,,,,,,,,,,,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-05","0.3"," 1005"," 1004","16.8",,,"-6.1","-2.2","-10.6",,"  160","  160","2.2","2.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-06","1.4"," 1355"," 1355","3.6",,,"-1.7","1.1","-5.0",,"  310","  310","5.8","6.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-07","2.0"," 1946"," 1851","2.3",,,"-2.8","-0.6","-5.0",,"  320","  310","5.8","8.9",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-08","0.8"," 1358"," 1335","0.0",,,"-7.2","-2.8","-12.2",,"  360","  360","3.6","4.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-09","1.7"," 1044"," 0824","9.4",,,"-1.7","3.3","-7.2",,"  210","  210","5.4","7.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-10","6.1"," 1434"," 1434","5.1",,,"-1.7","10.0","-13.9",,"  320","  310","11.6","17.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-11","4.3"," 1542"," 0111","0.0",,,"-17.8","-13.3","-19.4","    0","  310","  310","10.3","14.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-12","0.5"," 0033"," 0041","0.0",,,"-17.8","-6.7","-24.4","    0","   50","   60","4.0","4.5",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-13","1.5"," 1143"," 1152","0.0",,,"-7.8","-1.7","-14.4","    0","  350","  360","7.6","9.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-14","1.1",,,,,,,,,,,,,,,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-15","2.3"," 1459"," 1453","0.0",,,"-10.0","-2.8","-17.2",,"  350","  360","5.8","7.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-16","0.1"," 2326"," 2326","0.0",,,"-10.0","-0.6","-19.4",,"  360","  350","2.2","2.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-17","4.2"," 1547"," 1547","1.0",,,"-9.4","-2.8","-16.1",,"  310","  300","10.7","14.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-18","1.9"," 1345"," 1345","0.0",,,"-15.6","-6.1","-25.6",,"  220","  220","6.3","8.9",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-19","3.3"," 1837"," 1836","0.0",,,"-5.0","2.2","-12.2",,"  210","  220","8.0","10.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-02-20","1.9"," 1314"," 1313","0.3",,,"3.9","6.7","0.6",,"  220","  220","7.2","9.4",,,,,,
